Ｈ25基準地番号,所在地,｢住居表示｣,地積(平方メートル),価格(円/平方メートル),変動率,周辺の土地利用,X座標,Y座標
(県)葵-1,静岡市葵区安東3丁目142番4,「安東３−11−38」,152,"190,000",0.5,中規模住宅のほかに大規模住宅も見られる閑静な既成住宅地域,-10520.9748,-111875.9371
(県)葵-2,静岡市葵区松富4丁目121番2,「松富４−１−22」,94,"104,000",2.0,一般住宅を中心にアパート、農地等が混在する住宅地域,-11453.22551,-109163.8435
(県)葵-3,静岡市葵区沓谷6丁目8番7,,218,"153,000",1.3,一般住宅のほかにアパート等が混在する住宅地域,-8238.616414,-111465.1027
(県)葵-4,静岡市葵区川合2丁目29番37,「川合２−16−16」,145,"127,000",0.8,一般住宅が多い区画整然とした住宅地域,-7652.591323,-110523.4513
(県)葵-5,静岡市葵区千代田6丁目24番10外,「千代田６−15−10」,214,"149,000",0.7,一般住宅のほかに共同住宅等が混在する住宅地域,-8557.913782,-111010.6752
(県)葵-6,静岡市葵区東草深町12番2,「東草深町12−２」,163,"216,000",1.4,中規模住宅のほかに事務所等も見られる利便性の良い既成住宅地域,-10570,-112789
(県)葵-7*,静岡市葵区西草深町19番7,「西草深町19−16」,329,"243,000",2.1,大規模住宅も見られる利便性の良い既成住宅地域,-11091.98512,-113022.7644
(県)葵-8,静岡市葵区瀬名3丁目2804番1,「瀬名３−11−11」,99,"100,000",2.0,一般住宅のほかに農地等が見られる新興住宅地域,-7258.954154,-108628.2908
(県)葵-9,静岡市葵区春日2丁目1番1外,「春日２−１−11」,270,"164,000",1.2,一般住宅のほかにマンション、事務所等も混在する交通至便な住宅地域,-9176.478073,-113269.984
(県)葵-10,静岡市葵区末広町75番2,,162,"146,000",0.0,一般住宅を中心に共同住宅、店舗等が混在する既成の住宅地域,-11716,-112732
(県)葵-11,静岡市葵区南沼上2丁目120番55,「南沼上２−５−５」,198,"100,000",0.6,中規模一般住宅を主とする分譲住宅地域,-8167.087424,-109882.8787
(県)葵-12,静岡市葵区沓谷1丁目104番3,「沓谷１−９−２」,251,"155,000",0.6,中規模一般住宅のほかに共同住宅等も見られる既存の住宅地域,-9200.691888,-112357.9663
(県)葵-13,静岡市葵区城東町23番8,「城東町23−14」,143,"202,000",1.0,小規模一般住宅を中心とする利便性のよい区画整然とした住宅地域,-10117.93325,-112514.176
(県)葵-14,静岡市葵区昭府1丁目863番2,「昭府１−６−５」,140,"132,000",1.5,一般住宅の中にアパート等が混在する区画整理済みの住宅地域,-11982.26074,-111128.8719
(県)葵-15,静岡市葵区建穂1丁目175番6,「建穂１−６−11」,181,"89,000",0.0,中規模一般住宅のほか、作業所等も混在する新興住宅地域,-14331.41524,-112632.3705
(県)葵-16,静岡市葵区大岩4丁目644番2外,「大岩４−19−13」,238,"163,000",0.6,一般住宅のほかに共同住宅等も見られる住宅地域,-10812.02675,-110758.1345
(県)葵-17,静岡市葵区北安東4丁目1064番2,「北安東４−４−４」,165,"166,000",0.6,中小規模一般住宅が多い既成住宅地域,-10125.01519,-110784.1906
(県)葵-18,静岡市葵区古庄6丁目811番3,「古庄６−３−３」,200,"129,000",1.6,一般住宅、共同住宅が混在する土地区画整理済みの新興住宅地域,-7174.536338,-110907.3792
(県)葵-19,静岡市葵区上足洗2丁目517番7,「上足洗２−９−40」,202,"180,000",0.6,中規模一般住宅のほかにアパート、農地等も見られる住宅地域,-9824.840303,-111750.9934
(県)葵-20,静岡市葵区長沼2丁目9番12,「長沼２−７−11」,208,"152,000",1.3,住宅、倉庫等が混在する区画整理済みの地域,-7725.516284,-111877.778
(県)葵-21,静岡市葵区新間字村口539番2,,165,"53,800",-0.4,農地の中に一般住宅、農家住宅が混在する山間の住宅地域,-17705.51703,-111892.2752
(県)葵-22,静岡市葵区安倍口新田字本井内14番2,,165,"62,300",-0.6,中規模一般住宅と農家住宅が混在する郊外の住宅地域,-12757.28726,-108374.0756
(県)葵-23,静岡市葵区南字中村1540番31,,132,"69,600",0.9,一般住宅、農家住宅等が見られる郊外の住宅地域,-10103.30052,-108281.7282
(県)葵5-1,静岡市葵区両替町1丁目6番6,,238,"296,000",0.0,中低層の店舗、事務所兼住宅が多い両替町通り沿いの商業地域,-10882.72414,-113762.0213
(県)葵5-2,静岡市葵区川辺町1丁目5番6,「川辺町１−４−10」,198,"165,000",0.6,小売店舗のほかに事務所、一般住宅等も混在する既成の近隣商業地域,-11109.79513,-114465.7476
(県)葵5-3,静岡市葵区沓谷5丁目5番5外,,515,"156,000",0.6,中低層の店舗、事務所、雑居ビル等が混在する路線商業地域,-8237.611412,-111391.1505
(県)葵5-4,静岡市葵区栄町2番5,,165,"529,000",0.0,中層の事務所ビル等が建ち並ぶ国道沿いの商業地域,-9919,-113800
(県)葵5-5,静岡市葵区御幸町9番2,,179,"1,260,000",0.0,中高層の店舗、事務所ビルが混在する駅前商業地域,-10276,-113879
(県)葵5-6,静岡市葵区鷹匠1丁目4番4,「鷹匠１−４−３」,155,"325,000",1.9,中層の店舗事務所を主に店舗併用住宅等が混在する商業地域,-10317.36913,-113484.7385
(県)葵5-7*,静岡市葵区昭和町4番3,,124,"635,000",-0.5,中高層の店舗、事務所ビルが建ち並ぶ商業地域,-10612.24408,-114061.5714
(県)葵5-8,静岡市葵区駒形通1丁目4番4外,「駒形通１−２−９」,142,"189,000",-2.1,中低層の小売店舗を中心とする駒形通り沿いの既存の路線商業地域,-11087.93351,-114217.7551
(県)葵5-9,静岡市葵区鷹匠3丁目8番7,「鷹匠３−８−８」,134,"293,000",1.4,低層店舗兼住宅、中層ビルが混在する商業地域,-10123.28706,-113179.6538
(県)葵5-10*,静岡市葵区呉服町2丁目6番8,,324,"1,390,000",0.0,中層の専門店舗ビルが建ち並ぶ中心的商業地域,-10577.58641,-113811.8668
(県)葵5-11,静岡市葵区八千代町24番3,,135,"197,000",0.5,中低層の事務所、店舗のほかに住宅等が混在する商業地域,-11313.95753,-113195.6958
(県)葵5-12,静岡市葵区四番町2番13,,290,"160,000",0.6,店舗、事務所、一般住宅が混在する近隣商業地域,-11555.22515,-113918.6218
(県)葵5-13,静岡市葵区二番町12番6,,249,"169,000",0.0,店舗、事務所を中心に住宅等も混在する商業地域,-11868,-113547
(県)葵5-14,静岡市葵区井宮町24番2,,130,"152,000",0.0,中低層の店舗、事務所の中に住宅等も混在する路線商業地域,-11707.72261,-112583.1459
